fid,X,Y,drn_id,value
1,25488.5416,9432.948,126050,1.0
2,25518.5416,9432.948,126050,1.0
3,25548.5416,9432.948,126050,1.0
4,25578.5416,9432.948,126050,1.0
5,25608.5416,9432.948,126050,1.0
6,25638.5416,9432.948,126050,1.0
7,25668.5416,9432.948,126050,1.0
8,25698.5416,9432.948,126050,1.0
9,25728.5416,9432.948,126050,1.0
10,25758.5416,9432.948,126050,1.0
11,25788.5416,9432.948,126050,1.0
12,25818.5416,9432.948,126050,1.0
13,25848.5416,9432.948,126050,1.0
14,25878.5416,9432.948,126050,1.0
15,25908.5416,9432.948,126050,1.0
16,25158.5416,9402.948,126050,1.0
17,25188.5416,9402.948,126050,1.0
18,25218.5416,9402.948,126050,1.0
19,25248.5416,9402.948,126050,1.0
20,25278.5416,9402.948,126050,1.0
21,25308.5416,9402.948,126050,1.0
22,25338.5416,9402.948,126050,1.0
23,25368.5416,9402.948,126050,1.0
24,25398.5416,9402.948,126050,1.0
25,25428.5416,9402.948,126050,1.0
26,25458.5416,9402.948,126050,1.0
27,25158.5416,9372.948,126050,1.0
28,25158.5416,9342.948,126050,1.0
29,25158.5416,9312.948,126050,1.0
30,25008.5416,9282.948,126050,1.0
31,25038.5416,9282.948,126050,1.0
32,25068.5416,9282.948,126050,1.0
33,25098.5416,9282.948,126050,1.0
34,25128.5416,9282.948,126050,1.0
35,25158.5416,9282.948,126050,1.0
36,24858.5416,9252.948,126050,1.0
37,24888.5416,9252.948,126050,1.0
38,24918.5416,9252.948,126050,1.0
39,24948.5416,9252.948,126050,1.0
40,24978.5416,9252.948,126050,1.0
41,24858.5416,9222.948,126050,1.0
42,23988.5416,9192.948,78902,1.0
43,24858.5416,9192.948,126050,1.0
44,23928.5416,9162.948,78902,1.0
45,23958.5416,9162.948,78902,1.0
46,24858.5416,9162.948,126050,1.0
47,23898.5416,9132.948,78902,1.0
48,24858.5416,9132.948,126050,1.0
49,23868.5416,9102.948,78902,1.0
50,24858.5416,9102.948,126050,1.0
51,23838.5416,9072.948,78902,1.0
52,24888.5416,9072.948,126050,1.0
53,23838.5416,9042.948,78902,1.0
54,24888.5416,9042.948,126050,1.0
55,23808.5416,9012.948,78902,1.0
56,24888.5416,9012.948,126050,1.0
57,23778.5416,8982.948,78902,1.0
58,24888.5416,8982.948,126050,1.0
59,23238.5416,8952.948,74496,1.0
60,23748.5416,8952.948,78902,1.0
61,24888.5416,8952.948,126050,1.0
62,23238.5416,8922.948,74496,1.0
63,23718.5416,8922.948,78902,1.0
64,24888.5416,8922.948,126050,1.0
65,23238.5416,8892.948,74496,1.0
66,23688.5416,8892.948,78902,1.0
67,24858.5416,8892.948,126050,1.0
68,23208.5416,8862.948,74496,1.0
69,23688.5416,8862.948,78902,1.0
70,23208.5416,8832.948,74496,1.0
71,23658.5416,8832.948,78902,1.0
72,23208.5416,8802.948,74496,1.0
73,23628.5416,8802.948,78902,1.0
74,23208.5416,8772.948,74496,1.0
75,23598.5416,8772.948,78902,1.0
76,23208.5416,8742.948,74496,1.0
77,23598.5416,8742.948,78902,1.0
78,23178.5416,8712.948,74496,1.0
79,23568.5416,8712.948,78902,1.0
80,23178.5416,8682.948,74496,1.0
81,23568.5416,8682.948,78902,1.0
82,23178.5416,8652.948,74496,1.0
83,23538.5416,8652.948,78902,1.0
84,23178.5416,8622.948,74496,1.0
85,23538.5416,8622.948,78902,1.0
86,23178.5416,8592.948,74496,1.0
87,23508.5416,8592.948,78902,1.0
88,23148.5416,8562.948,74496,1.0
89,23508.5416,8562.948,78902,1.0
90,23148.5416,8532.948,74496,1.0
91,23538.5416,8532.948,78902,1.0
92,23148.5416,8502.948,74496,1.0
93,23538.5416,8502.948,78902,1.0
94,23148.5416,8472.948,74496,1.0
95,23538.5416,8472.948,78902,1.0
96,23148.5416,8442.948,74496,1.0
97,23508.5416,8442.948,78902,1.0
98,23118.5416,8412.948,74496,1.0
99,23508.5416,8412.948,78902,1.0
100,23118.5416,8382.948,74496,1.0
101,23478.5416,8382.948,78902,1.0
102,23118.5416,8352.948,74496,1.0
103,23118.5416,8322.948,74496,1.0
104,23118.5416,8292.948,74496,1.0
105,23088.5416,8262.948,74496,1.0
106,23088.5416,8232.948,74496,1.0
107,23088.5416,8202.948,74496,1.0
108,23118.5416,8202.948,74496,1.0
109,23148.5416,8202.948,74496,1.0
110,23178.5416,8172.948,74496,1.0
111,23208.5416,8172.948,74496,1.0
112,23238.5416,8172.948,74496,1.0
113,23268.5416,8172.948,74496,1.0
114,23298.5416,8142.948,74496,1.0
115,23328.5416,8142.948,74496,1.0
116,23358.5416,8142.948,74496,1.0
117,23088.5416,8052.948,6750,1.0
118,23088.5416,8022.948,6750,1.0
119,22878.5416,7992.948,6750,1.0
120,22908.5416,7992.948,6750,1.0
121,22938.5416,7992.948,6750,1.0
122,22968.5416,7992.948,6750,1.0
123,23088.5416,7992.948,6750,1.0
124,22878.5416,7962.948,6750,1.0
125,22998.5416,7962.948,6750,1.0
126,23028.5416,7962.948,6750,1.0
127,23058.5416,7962.948,6750,1.0
128,23088.5416,7962.948,6750,1.0
129,22878.5416,7932.948,6750,1.0
130,22848.5416,7902.948,6750,1.0
131,22848.5416,7872.948,6750,1.0
132,22848.5416,7842.948,6750,1.0
133,24858.5416,7842.948,89050,1.0
134,22848.5416,7812.948,6750,1.0
135,24858.5416,7812.948,89050,1.0
136,22848.5416,7782.948,6750,1.0
137,24858.5416,7782.948,89050,1.0
138,22848.5416,7752.948,6750,1.0
139,24858.5416,7752.948,89050,1.0
140,22818.5416,7722.948,6750,1.0
141,24858.5416,7722.948,89050,1.0
142,22818.5416,7692.948,6750,1.0
143,24858.5416,7692.948,89050,1.0
144,22818.5416,7662.948,6750,1.0
145,22848.5416,7662.948,6750,1.0
146,24858.5416,7662.948,89050,1.0
147,22878.5416,7632.948,6750,1.0
148,22908.5416,7632.948,6750,1.0
149,22938.5416,7632.948,6750,1.0
150,24858.5416,7632.948,89050,1.0
151,22968.5416,7602.948,6750,1.0
152,22998.5416,7602.948,6750,1.0
153,24858.5416,7602.948,89050,1.0
154,22998.5416,7572.948,6750,1.0
155,24858.5416,7572.948,89050,1.0
156,22998.5416,7542.948,6750,1.0
157,24858.5416,7542.948,89050,1.0
158,22998.5416,7512.948,6750,1.0
159,24888.5416,7512.948,89050,1.0
160,22998.5416,7482.948,6750,1.0
161,24888.5416,7482.948,89050,1.0
162,23028.5416,7452.948,6750,1.0
163,24888.5416,7452.948,89050,1.0
164,23028.5416,7422.948,6750,1.0
165,24888.5416,7422.948,89050,1.0
166,23028.5416,7392.948,6750,1.0
167,24888.5416,7392.948,89050,1.0
168,23028.5416,7362.948,6750,1.0
169,24888.5416,7362.948,89050,1.0
170,23028.5416,7332.948,6750,1.0
171,24888.5416,7332.948,89050,1.0
172,22998.5416,7302.948,6750,1.0
173,23028.5416,7302.948,6750,1.0
174,24888.5416,7302.948,89050,1.0
175,22938.5416,7272.948,6750,1.0
176,22968.5416,7272.948,6750,1.0
177,23778.5416,7272.948,89050,1.0
178,23808.5416,7272.948,89050,1.0
179,24888.5416,7272.948,89050,1.0
180,22938.5416,7242.948,6750,1.0
181,23838.5416,7242.948,89050,1.0
182,23868.5416,7242.948,89050,1.0
183,24888.5416,7242.948,89050,1.0
184,22428.5416,7212.948,6750,1.0
185,22458.5416,7212.948,6750,1.0
186,22488.5416,7212.948,6750,1.0
187,22518.5416,7212.948,6750,1.0
188,22548.5416,7212.948,6750,1.0
189,22578.5416,7212.948,6750,1.0
190,22938.5416,7212.948,6750,1.0
191,23898.5416,7212.948,89050,1.0
192,24438.5416,7212.948,89050,1.0
193,24468.5416,7212.948,89050,1.0
194,24498.5416,7212.948,89050,1.0
195,24528.5416,7212.948,89050,1.0
196,24558.5416,7212.948,89050,1.0
197,24588.5416,7212.948,89050,1.0
198,24618.5416,7212.948,89050,1.0
199,24648.5416,7212.948,89050,1.0
200,24678.5416,7212.948,89050,1.0
201,24708.5416,7212.948,89050,1.0
202,24738.5416,7212.948,89050,1.0
203,24768.5416,7212.948,89050,1.0
204,24798.5416,7212.948,89050,1.0
205,24828.5416,7212.948,89050,1.0
206,24858.5416,7212.948,89050,1.0
207,24888.5416,7212.948,89050,1.0
208,22368.5416,7182.948,6750,1.0
209,22398.5416,7182.948,6750,1.0
210,22608.5416,7182.948,6750,1.0
211,22638.5416,7182.948,6750,1.0
212,22668.5416,7182.948,6750,1.0
213,22698.5416,7182.948,6750,1.0
214,22728.5416,7182.948,6750,1.0
215,22758.5416,7182.948,6750,1.0
216,22908.5416,7182.948,6750,1.0
217,23928.5416,7182.948,89050,1.0
218,24438.5416,7182.948,89050,1.0
219,22338.5416,7152.948,6750,1.0
220,22788.5416,7152.948,6750,1.0
221,22818.5416,7152.948,6750,1.0
222,22848.5416,7152.948,6750,1.0
223,22908.5416,7152.948,6750,1.0
224,23958.5416,7152.948,89050,1.0
225,23988.5416,7152.948,89050,1.0
226,24438.5416,7152.948,89050,1.0
227,22278.5416,7122.948,6750,1.0
228,22308.5416,7122.948,6750,1.0
229,22878.5416,7122.948,6750,1.0
230,22908.5416,7122.948,6750,1.0
231,24018.5416,7122.948,89050,1.0
232,24408.5416,7122.948,89050,1.0
233,22278.5416,7092.948,6750,1.0
234,24048.5416,7092.948,89050,1.0
235,24228.5416,7092.948,89050,1.0
236,24258.5416,7092.948,89050,1.0
237,24288.5416,7092.948,89050,1.0
238,24318.5416,7092.948,89050,1.0
239,24348.5416,7092.948,89050,1.0
240,24378.5416,7092.948,89050,1.0
241,22278.5416,7062.948,6750,1.0
242,24078.5416,7062.948,89050,1.0
243,24108.5416,7062.948,89050,1.0
244,24138.5416,7062.948,89050,1.0
245,24168.5416,7062.948,89050,1.0
246,24198.5416,7062.948,89050,1.0
247,22308.5416,7032.948,6750,1.0
248,22308.5416,7002.948,6750,1.0
249,22308.5416,6972.948,6750,1.0
250,22308.5416,6942.948,6750,1.0
251,22308.5416,6912.948,6750,1.0
252,22308.5416,6882.948,6750,1.0
253,22308.5416,6852.948,6750,1.0
254,22308.5416,6822.948,6750,1.0
255,22308.5416,6792.948,6750,1.0
256,24018.5416,6792.948,72896,1.0
257,24048.5416,6792.948,72896,1.0
258,24078.5416,6792.948,72896,1.0
259,24108.5416,6792.948,72896,1.0
260,24138.5416,6792.948,72896,1.0
261,24168.5416,6792.948,72896,1.0
262,24198.5416,6792.948,72896,1.0
263,24228.5416,6792.948,72896,1.0
264,24258.5416,6792.948,72896,1.0
265,24288.5416,6792.948,72896,1.0
266,24318.5416,6792.948,72896,1.0
267,24348.5416,6792.948,72896,1.0
268,24378.5416,6792.948,72896,1.0
269,24408.5416,6792.948,72896,1.0
270,24438.5416,6792.948,72896,1.0
271,24468.5416,6792.948,72896,1.0
272,24498.5416,6792.948,72896,1.0
273,24528.5416,6792.948,72896,1.0
274,24558.5416,6792.948,72896,1.0
275,24588.5416,6792.948,72896,1.0
276,22308.5416,6762.948,6750,1.0
277,23988.5416,6762.948,72896,1.0
278,24588.5416,6762.948,72896,1.0
279,22308.5416,6732.948,6750,1.0
280,23958.5416,6732.948,72896,1.0
281,24588.5416,6732.948,72896,1.0
282,22308.5416,6702.948,6750,1.0
283,23898.5416,6702.948,72896,1.0
284,23928.5416,6702.948,72896,1.0
285,24588.5416,6702.948,72896,1.0
286,22248.5416,6672.948,6750,1.0
287,22278.5416,6672.948,6750,1.0
288,23868.5416,6672.948,72896,1.0
289,24588.5416,6672.948,72896,1.0
290,22218.5416,6642.948,6750,1.0
291,23628.5416,6642.948,72896,1.0
292,23658.5416,6642.948,72896,1.0
293,23838.5416,6642.948,72896,1.0
294,24588.5416,6642.948,72896,1.0
295,22158.5416,6612.948,6750,1.0
296,22188.5416,6612.948,6750,1.0
297,23358.5416,6612.948,72896,1.0
298,23388.5416,6612.948,72896,1.0
299,23538.5416,6612.948,72896,1.0
300,23568.5416,6612.948,72896,1.0
301,23598.5416,6612.948,72896,1.0
302,23688.5416,6612.948,72896,1.0
303,23718.5416,6612.948,72896,1.0
304,23748.5416,6612.948,72896,1.0
305,23778.5416,6612.948,72896,1.0
306,23808.5416,6612.948,72896,1.0
307,24588.5416,6612.948,72896,1.0
308,22128.5416,6582.948,6750,1.0
309,23418.5416,6582.948,72896,1.0
310,23448.5416,6582.948,72896,1.0
311,23478.5416,6582.948,72896,1.0
312,23508.5416,6582.948,72896,1.0
313,24588.5416,6582.948,72896,1.0
314,24588.5416,6552.948,72896,1.0
315,24588.5416,6522.948,72896,1.0
316,24588.5416,6492.948,72896,1.0
317,24588.5416,6462.948,72896,1.0
318,24588.5416,6432.948,72896,1.0
319,23208.5416,6312.948,142222,1.0
320,23238.5416,6282.948,142222,1.0
321,23238.5416,6252.948,142222,1.0
322,23268.5416,6222.948,142222,1.0
323,23268.5416,6192.948,142222,1.0
324,23268.5416,6162.948,142222,1.0
325,23268.5416,6132.948,142222,1.0
326,23268.5416,6102.948,142222,1.0
327,23268.5416,6072.948,142222,1.0
328,23268.5416,6042.948,142222,1.0
329,23268.5416,6012.948,142222,1.0
330,23268.5416,5982.948,142222,1.0
331,23268.5416,5952.948,142222,1.0
332,23268.5416,5922.948,142222,1.0
333,23268.5416,5892.948,142222,1.0
334,23268.5416,5862.948,142222,1.0
335,23268.5416,5832.948,142222,1.0
336,23268.5416,5802.948,142222,1.0
337,23268.5416,5772.948,142222,1.0
338,23268.5416,5742.948,142222,1.0
339,23268.5416,5712.948,142222,1.0
340,23268.5416,5682.948,142222,1.0
341,23268.5416,5652.948,142222,1.0
342,23268.5416,5622.948,142222,1.0
343,23268.5416,5592.948,142222,1.0
344,23268.5416,5562.948,142222,1.0
345,23268.5416,5532.948,142222,1.0
346,23268.5416,5502.948,142222,1.0
347,23298.5416,5502.948,142222,1.0
348,23328.5416,5502.948,142222,1.0
349,23358.5416,5502.948,142222,1.0
350,23388.5416,5502.948,142222,1.0
351,23418.5416,5502.948,142222,1.0
352,23448.5416,5502.948,142222,1.0
353,23478.5416,5502.948,142222,1.0
354,23508.5416,5502.948,142222,1.0
355,23538.5416,5502.948,142222,1.0
356,23568.5416,5502.948,142222,1.0
357,23598.5416,5502.948,142222,1.0
358,23628.5416,5502.948,142222,1.0
359,23658.5416,5502.948,142222,1.0
360,23688.5416,5502.948,142222,1.0
361,23718.5416,5502.948,142222,1.0
362,23748.5416,5502.948,142222,1.0
363,23778.5416,5502.948,142222,1.0
364,23808.5416,5502.948,142222,1.0
365,23838.5416,5502.948,142222,1.0
366,23868.5416,5502.948,142222,1.0
367,23898.5416,5502.948,142222,1.0
368,23928.5416,5502.948,142222,1.0
369,23958.5416,5502.948,142222,1.0
370,24438.5416,5502.948,142222,1.0
371,24468.5416,5502.948,142222,1.0
372,24498.5416,5502.948,142222,1.0
373,24528.5416,5502.948,142222,1.0
374,24558.5416,5502.948,142222,1.0
375,24588.5416,5502.948,142222,1.0
376,24618.5416,5502.948,142222,1.0
377,24648.5416,5502.948,142222,1.0
378,24678.5416,5502.948,142222,1.0
379,24708.5416,5502.948,142222,1.0
380,24738.5416,5502.948,142222,1.0
381,24768.5416,5502.948,142222,1.0
382,24798.5416,5502.948,142222,1.0
383,24828.5416,5502.948,142222,1.0
384,24858.5416,5502.948,142222,1.0
385,23988.5416,5472.948,142222,1.0
386,24018.5416,5472.948,142222,1.0
387,24048.5416,5472.948,142222,1.0
388,24078.5416,5472.948,142222,1.0
389,24108.5416,5472.948,142222,1.0
390,24138.5416,5472.948,142222,1.0
391,24168.5416,5472.948,142222,1.0
392,24198.5416,5472.948,142222,1.0
393,24228.5416,5472.948,142222,1.0
394,24258.5416,5472.948,142222,1.0
395,24288.5416,5472.948,142222,1.0
396,24318.5416,5472.948,142222,1.0
397,24348.5416,5472.948,142222,1.0
398,24378.5416,5472.948,142222,1.0
399,24408.5416,5472.948,142222,1.0
400,24858.5416,5472.948,142222,1.0
401,24858.5416,5442.948,142222,1.0
402,24858.5416,5412.948,142222,1.0
403,24858.5416,5382.948,142222,1.0
404,24858.5416,5352.948,142222,1.0
405,24858.5416,5322.948,142222,1.0
406,24858.5416,5292.948,142222,1.0
407,24858.5416,5262.948,142222,1.0
408,24858.5416,5232.948,142222,1.0
409,24858.5416,5202.948,142222,1.0
